Ciudad_enc,Tipo_Zona_enc,Tipo_Sensor_enc,Fuente_Principal_Ruido_enc,Condicion_Climatica_enc,Franja_Horaria_enc,Nivel_Ruido_dB_scaled,Indice_Movilidad_scaled,Flujo_Vehicular_veh_h_scaled,Velocidad_Promedio_kmh_scaled,Saturacion_Transporte_scaled,Calidad_Señal_Sensor_scaled,Indice_Congestion_scaled,Ratio_Ruido_Velocidad_scaled,Es_Hora_Pico,Es_Diurno,Supera_Limite_Normativo,Mes,Trimestre,Clasificacion_Normativa_encoded
0,2,2,1,0,3,0.450899031811895,0.43157894736842106,0.4314971751412429,0.46551724137931044,0.48,0.06666666666666687,0.4612244897959184,0.155595006299393,0,1,1,2,1,3
0,5,1,0,2,3,0.20193637621023514,0.37894736842105264,0.278954802259887,0.5532915360501569,0.42,0.8999999999999999,0.40408163265306124,0.07403218417134348,0,1,0,2,1,0
0,5,1,1,0,2,0.5062240663900415,0.5684210526315789,0.3114406779661017,0.4608150470219437,0.78,0.3333333333333335,0.6979591836734694,0.17128622150956363,1,1,1,2,1,3
0,2,2,0,2,0,0.049792531120331995,0.0,0.0,0.8510971786833856,0.0,0.7999999999999998,0.0,0.01033673118772191,0,0,0,3,1,0
0,5,1,5,0,1,0.5103734439834027,0.6105263157894737,0.5225988700564972,0.3761755485893417,0.82,0.10000000000000009,0.7387755102040816,0.20833810560073307,1,1,1,3,1,3
0,3,0,0,0,3,0.7136929460580912,0.4631578947368421,0.3848870056497175,0.5470219435736678,0.6,0.3666666666666667,0.5469387755102041,0.18986943076394458,0,1,1,4,2,2
0,0,0,2,2,0,0.25034578146611347,0.3684210526315789,0.24505649717514125,0.5626959247648904,0.49,0.4333333333333331,0.44285714285714284,0.08290860153476119,0,0,0,5,2,0
0,5,2,1,1,1,0.3084370677731673,0.25263157894736843,0.18008474576271186,0.6818181818181819,0.29,0.7000000000000002,0.2755102040816327,0.07364563051196886,0,1,0,6,2,1
0,5,0,6,0,1,0.03319502074688796,0.21052631578947367,0.17584745762711865,0.6222570532915361,0.23,0.6000000000000001,0.22244897959183674,0.02796071469476577,0,1,0,6,2,0
0,0,1,5,0,0,0.33886583679114807,0.23157894736842105,0.18008474576271186,0.6630094043887149,0.29,0.5,0.26734693877551025,0.0825793150841828,0,0,0,6,2,0
0,3,2,0,1,1,0.8091286307053942,0.7789473684210526,0.6024011299435028,0.31504702194357365,0.84,0.3333333333333335,0.8163265306122449,0.3405251403046616,1,1,1,7,3,3
0,3,1,0,2,2,0.6113416320885201,0.6,0.4322033898305085,0.5188087774294672,0.72,0.2333333333333334,0.6734693877551021,0.1762684686748368,0,1,1,7,3,1
0,2,1,5,1,0,0.1784232365145228,0.09473684210526316,0.0692090395480226,0.677115987460815,0.26,0.666666666666667,0.1959183673469388,0.049707937235139166,0,0,0,7,3,1
0,5,1,6,1,2,0.3125864453665284,0.28421052631578947,0.2598870056497175,0.6504702194357368,0.45,0.4666666666666668,0.38571428571428573,0.07963005383117626,0,1,0,7,3,1
0,5,1,5,3,3,0.31120331950207475,0.2736842105263158,0.21468926553672316,0.7429467084639501,0.25,0.7999999999999998,0.25918367346938775,0.06505554919253236,0,1,0,8,3,1
0,5,1,4,0,2,0.32088520055325037,0.0,0.0,0.6959247648902822,0.12,0.833333333333333,0.07346938775510203,0.07374584812736228,0,0,0,8,3,1
0,5,0,6,0,2,0.2641770401106501,0.29473684210526313,0.2401129943502825,0.609717868338558,0.37,0.7999999999999998,0.3408163265306123,0.07703871263314625,0,1,0,9,3,1
0,5,1,5,1,3,0.3056708160442601,0.3368421052631579,0.2909604519774011,0.4952978056426332,0.37,0.4666666666666668,0.35714285714285715,0.11088363303172603,0,1,0,9,3,1
0,5,2,2,2,1,0.05809128630705401,0.3157894736842105,0.3001412429378531,0.523510971786834,0.43,0.3666666666666667,0.38571428571428573,0.04654392394914672,0,1,0,9,3,0
0,0,0,6,2,3,0.4232365145228217,0.6210526315789473,0.519774011299435,0.4090909090909091,0.84,0.4666666666666668,0.7551020408163266,0.16898121635551483,0,1,0,9,3,1
0,5,0,5,1,0,0.07745504840940531,0.0,0.0,0.6990595611285266,0.09,0.30000000000000027,0.05510204081632653,0.02818978352995076,0,0,0,11,4,0
0,5,2,6,1,3,0.22544951590594747,0.29473684210526313,0.19915254237288135,0.5862068965517242,0.32,0.4333333333333331,0.31020408163265306,0.07311590883060361,0,1,0,12,4,0
0,5,1,6,0,2,0.1396957123098202,0.34736842105263155,0.3481638418079096,0.6144200626959249,0.46,0.06666666666666687,0.4163265306122449,0.050695796586874356,0,1,0,1,1,0
0,5,1,5,0,2,0.37482710926694335,0.5894736842105263,0.4533898305084746,0.4827586206896552,0.65,0.5,0.6265306122448979,0.1311848585499943,1,1,1,1,1,2
0,5,1,0,1,2,0.3554633471645921,0.6526315789473685,0.384180790960452,0.30564263322884017,0.77,0.2333333333333334,0.7244897959183674,0.19591112129194826,1,1,1,1,1,2
0,0,1,1,2,2,0.5338865836791147,0.7263157894736842,0.4265536723163842,0.25862068965517243,0.86,0.666666666666667,0.8081632653061225,0.2902874813881572,0,1,1,2,1,1
0,0,2,5,0,3,0.4218533886583679,0.5578947368421052,0.4731638418079096,0.4310344827586207,0.78,0.0,0.6938775510204083,0.16024796701408772,0,1,0,2,1,1
0,5,0,6,0,3,0.2987551867219918,0.2736842105263158,0.20903954802259886,0.6394984326018809,0.39,0.06666666666666687,0.3448979591836735,0.07879967930363073,0,1,0,4,2,1
0,2,1,6,2,2,0.14799446749654227,0.34736842105263155,0.278954802259887,0.5956112852664577,0.41,0.2666666666666666,0.38571428571428573,0.05520558927957851,0,1,0,4,2,1
0,3,2,6,2,0,0.5228215767634854,0.23157894736842105,0.2132768361581921,0.5485893416927901,0.24,0.5666666666666669,0.23673469387755103,0.146661321727179,0,0,0,4,2,0
0,5,0,1,0,1,0.4744121715076072,0.6736842105263158,0.6384180790960452,0.32601880877742956,0.9,0.9666666666666668,0.8122448979591838,0.22378593517351963,1,1,0,4,2,3
0,5,1,0,0,1,0.2351313969571231,0.21052631578947367,0.16031073446327684,0.634796238244514,0.29,0.10000000000000009,0.25918367346938775,0.0669024166762112,0,1,0,5,2,1
0,2,1,0,0,2,0.16597510373443985,0.021052631578947368,0.015536723163841807,0.8369905956112855,0.0,0.766666666666667,0.00816326530612245,0.02993643339823618,0,0,0,5,2,1
0,4,1,6,0,3,0.5186721991701246,0.5052631578947369,0.3997175141242938,0.4968652037617555,0.65,0.7999999999999998,0.5938775510204082,0.16175123124498914,0,1,0,5,2,2
0,5,1,6,0,1,0.28630705394190875,0.5894736842105263,0.4004237288135593,0.371473354231975,0.78,0.0,0.7061224489795918,0.14439926697972744,1,1,0,6,2,1
0,0,1,0,0,1,0.6887966804979253,0.8736842105263157,0.6299435028248588,0.2163009404388715,1.0,0.833333333333333,0.9510204081632654,0.392180162638873,1,1,1,7,3,3
0,2,2,6,2,1,0.28354080221300143,0.5789473684210527,0.3382768361581921,0.4404388714733542,0.67,0.6333333333333333,0.6346938775510205,0.12050452410949493,1,1,0,7,3,3
0,5,0,6,2,0,0.17427385892116182,0.0,0.0,0.7429467084639501,0.11,0.5333333333333332,0.0673469387755102,0.04090310388271676,0,0,0,7,3,0
0,0,1,2,0,1,0.7136929460580912,0.9368421052631579,0.6892655367231638,0.31818181818181823,1.0,0.5333333333333332,0.9755102040816326,0.30670885351047994,1,1,1,8,3,3
0,4,2,0,1,3,0.4854771784232365,0.6421052631578947,0.5310734463276836,0.4169278996865204,0.68,0.8666666666666667,0.6653061224489797,0.1829257816974001,0,1,0,8,3,2
0,3,2,5,0,3,0.6417704011065009,0.6105263157894737,0.5522598870056498,0.2931034482758621,0.75,0.4333333333333331,0.6959183673469388,0.30161207192761424,0,1,1,9,3,1
0,0,2,4,0,2,0.450899031811895,0.3157894736842105,0.2612994350282486,0.36677115987460823,0.39,0.4333333333333331,0.36122448979591837,0.19528118199518957,0,0,1,9,3,1
0,5,0,5,0,0,0.0691562932226833,0.0,0.0,0.7570532915360502,0.0,0.8999999999999999,0.0,0.021074332837017526,0,0,0,9,3,0
0,1,2,6,0,1,0.3582295988934993,0.3157894736842105,0.2055084745762712,0.7147335423197492,0.45,0.033333333333333215,0.3979591836734694,0.07765433512770588,0,1,0,10,4,2
0,5,2,5,0,0,0.08160442600276624,0.010526315789473684,0.009180790960451978,0.8307210031347962,0.05,0.16666666666666696,0.034693877551020415,0.016936777001488948,0,0,0,10,4,0
0,0,1,6,2,2,0.677731673582296,0.8526315789473684,0.7944915254237288,0.34639498432601884,1.0,0.20000000000000018,0.942857142857143,0.27564139273851795,1,1,1,11,4,3
0,4,1,6,2,1,0.6113416320885201,0.9473684210526315,0.5480225988700564,0.3730407523510972,1.0,0.8999999999999999,0.9795918367346939,0.23966326881227812,1,1,1,11,4,3
0,2,1,0,3,1,0.18810511756569853,0.3157894736842105,0.2768361581920904,0.4749216300940439,0.4,0.766666666666667,0.3673469387755102,0.08706047417248884,0,1,0,12,4,1
0,0,1,6,0,0,0.4190871369294606,0.34736842105263155,0.23728813559322035,0.4373040752351098,0.35,0.10000000000000009,0.3489795918367347,0.15724143855228495,0,0,1,1,1,1
0,4,2,3,2,3,0.6071922544951591,0.6526315789473685,0.471045197740113,0.3871473354231975,0.86,0.10000000000000009,0.7795918367346939,0.23090138586645287,0,1,1,1,1,3
0,5,1,4,2,3,0.30428769017980645,0.39999999999999997,0.2959039548022599,0.43416927899686525,0.44,0.16666666666666696,0.42448979591836733,0.12789199404421026,0,1,0,1,1,1
0,5,0,3,2,2,0.3029045643153527,0.010526315789473684,0.007062146892655367,0.7319749216300941,0.13,0.3666666666666667,0.0836734693877551,0.06511281640132861,0,0,0,1,1,1
0,3,0,6,0,1,0.8879668049792533,0.8315789473684211,0.6666666666666666,0.2962382445141066,1.0,0.7000000000000002,0.9346938775510205,0.3835757645172375,1,1,1,1,1,3
0,2,1,5,0,0,0.13416320885200556,0.042105263157894736,0.04025423728813559,0.8307210031347962,0.0,0.06666666666666687,0.0163265306122449,0.02539800710113388,0,0,0,1,1,1
0,5,2,4,0,2,0.4080221300138313,0.5684210526315789,0.4774011299435028,0.45768025078369906,0.63,0.6000000000000001,0.6061224489795918,0.14733421143053488,1,1,1,2,1,2
0,5,1,1,2,0,0.326417704011065,0.021052631578947368,0.01765536723163842,0.804075235109718,0.0,0.666666666666667,0.00816326530612245,0.059586530752491124,0,0,0,2,1,1
0,0,2,3,0,3,0.7980636237897649,0.8842105263157894,0.6292372881355932,0.18181818181818182,1.0,0.5666666666666669,0.9551020408163267,0.4852966441415646,1,1,1,3,1,3
0,4,0,6,0,2,0.6002766251728908,0.9263157894736842,0.7916666666666666,0.08934169278996867,1.0,0.4666666666666668,0.9714285714285714,0.5551483220707822,1,1,1,3,1,3
0,5,2,4,0,1,0.2959889349930844,0.5684210526315789,0.3509887005649717,0.3636363636363637,0.74,0.10000000000000009,0.6734693877551021,0.1503121062879395,1,1,0,3,1,1
0,5,1,5,2,3,0.39280774550484093,0.39999999999999997,0.3954802259887006,0.6724137931034484,0.53,0.16666666666666696,0.47959183673469385,0.0912696140190127,0,1,0,3,1,2
0,3,1,0,0,3,0.644536652835408,0.49473684210526314,0.3877118644067797,0.4514106583072101,0.71,0.6333333333333333,0.6265306122448979,0.21048562593059217,0,1,1,3,1,1
0,0,1,5,1,1,0.39280774550484093,0.7052631578947368,0.7055084745762712,0.468652037617555,0.89,0.9666666666666668,0.8183673469387756,0.13994674149581948,0,1,0,4,2,0
0,3,1,5,0,1,0.7219917012448134,0.7894736842105263,0.5247175141242938,0.3040752351097179,0.98,0.7999999999999998,0.9061224489795918,0.32033844920398585,1,1,1,5,2,2
0,0,2,6,0,3,0.5905947441217152,0.6,0.5225988700564972,0.523510971786834,0.85,0.5666666666666669,0.753061224489796,0.16985454128965755,0,1,1,6,2,2
0,5,1,0,0,2,0.31120331950207475,0.3368421052631579,0.1864406779661017,0.5579937304075235,0.45,0.5666666666666669,0.4061224489795919,0.09726835414041919,0,1,0,7,3,1
0,5,2,6,0,2,0.1825726141078839,0.25263157894736843,0.1906779661016949,0.6473354231974922,0.29,0.8999999999999999,0.2755102040816327,0.0545899667850189,0,1,0,7,3,0
